date,site,sample,cs spl
8/21/2023,OS,1,7.72
8/21/2023,OS,2,6.72
8/21/2023,OS,3,8.89
9/19/2023,OS,1,6.68
9/19/2023,OS,2A,9.95
9/19/2023,OS,2B,5.8
9/19/2023,OS,3A,10.26
9/19/2023,OS,3B,2.47
10/3/2023,OS,1,1.89
10/3/2023,OS,2,4.38
10/3/2023,OS,3,6.72
10/17/2023,OS,1,5.86
10/17/2023,OS,2,4.69
10/17/2023,OS,3,2.65
10/31/2023,OS,1,1.92
10/31/2023,OS,2,5.03
10/31/2023,OS,3,7.83
3/26/2024,OS,1,0.74
3/26/2024,OS,2,0
3/26/2024,OS,3,0.3
4/9/2024,OS,1,1.06
4/9/2024,OS,2,2.95
4/9/2024,OS,3,1.41
4/23/2024,OS,1,5.08
4/23/2024,OS,2,11.54
4/23/2024,OS,3,5.06
5/7/2024,OS,1,11.78
5/7/2024,OS,2,9.7
5/7/2024,OS,3,13.23
5/12/2024,OS,1,14.93
5/12/2024,OS,2,11.63
5/12/2024,OS,3,12.23
6/4/2024,OS,1,7.78
6/4/2024,OS,2,12.62
6/4/2024,OS,3,10.68
6/18/2024,OS,1,21.74
6/18/2024,OS,2,18.95
6/18/2024,OS,3,21.87
7/2/2024,OS,1,17.06
7/2/2024,OS,2,4.16
7/2/2024,OS,3,6.6
7/16/2024,OS,1,6.83
7/16/2024,OS,2,7.12
7/16/2024,OS,3,15.23
7/30/2024,OS,1,2.17
7/30/2024,OS,2,2.66
7/30/2024,OS,3,1.89
8/11/2024,OS,1,3.3
8/11/2024,OS,2,0.9
8/11/2024,OS,3,4.25
8/26/2024,OS,1,1.88
8/26/2024,OS,2,2.92
8/26/2024,OS,3,1.4
9/9/2024,OS,1,3.39
9/9/2024,OS,2,6.18
9/9/2024,OS,3,125.78
9/25/2024,OS,1,125.81
9/25/2024,OS,2,99.63
9/25/2024,OS,3,87.79
10/8/2024,OS,1,52.36
10/8/2024,OS,2,53.77
10/8/2024,OS,3,82.48
10/22/2024,OS,1,111.98
10/22/2024,OS,2,58.99
10/22/2024,OS,3,78.43
