date,site,sample,cs spl
4/23/2024,PT,1,0
4/23/2024,PT,2,0.3
4/23/2024,PT,3,0
5/7/2024,PT,1,2.21
5/7/2024,PT,2,0
5/7/2024,PT,3,0.5
5/21/2024,PT,1,0
5/21/2024,PT,2,0.96
5/21/2024,PT,3,0.47
6/4/2024,PT,1,1.26
6/4/2024,PT,2,0.51
6/4/2024,PT,3,0.07
6/18/2024,PT,1,3.32
6/18/2024,PT,2,2.6
6/18/2024,PT,3,1.81
7/2/2024,PT,1,3.24
7/2/2024,PT,2,0.2
7/2/2024,PT,3,0.61
7/16/2024,PT,1,0.93
7/16/2024,PT,2,1.19
7/16/2024,PT,3,2.49
7/30/2024,PT,1,1.21
7/30/2024,PT,2,6.05
7/30/2024,PT,3,3.68
8/11/2024,PT,1,2.41
8/11/2024,PT,2,3.94
8/11/2024,PT,3,0.48
8/26/2024,PT,1,0.4
8/26/2024,PT,2,5.3
8/26/2024,PT,3,8.24
9/9/2024,PT,1,6.98
9/9/2024,PT,2,7.07
9/9/2024,PT,3,0.8
9/25/2024,PT,1,8.36
9/25/2024,PT,2,12.4
9/25/2024,PT,3,16.57
10/8/2024,PT,1,4.65
10/8/2024,PT,2,2.6
10/8/2024,PT,3,6.55
10/22/2024,PT,1,4.21
10/22/2024,PT,2,5.17
10/22/2024,PT,3,6.96
,,,
