site,date,water_year,n_reps,mean_spores_l
PT,2024-04-09,2024,3,0.5733333333333334
PT,2024-04-23,2024,3,0.09999999999999999
PT,2024-05-07,2024,3,0.9033333333333333
PT,2024-05-21,2024,3,0.4766666666666666
PT,2024-06-04,2024,3,0.6133333333333333
PT,2024-06-18,2024,3,2.5766666666666667
PT,2024-07-02,2024,3,1.35
PT,2024-07-16,2024,3,1.5366666666666666
PT,2024-07-30,2024,3,3.6466666666666665
PT,2024-08-11,2024,3,2.276666666666667
PT,2024-08-26,2024,3,4.6466666666666665
PT,2024-09-09,2024,3,4.95
PT,2024-09-25,2024,3,12.443333333333333
PT,2024-10-08,2025,3,4.6
PT,2024-10-22,2025,3,5.446666666666666
