date,site,rep,spores_l,water_year
2023-07-11,PT,3,9.3,2023
2023-07-25,PT,1,9.1,2023
2023-07-25,PT,2,8.9,2023
2023-07-25,PT,3,16.19,2023
2023-08-08,PT,1,20.04,2023
2023-08-08,PT,2,13.34,2023
2023-08-08,PT,3,11.55,2023
2023-08-21,PT,1,8.61,2023
2023-08-21,PT,2,5.68,2023
2023-08-21,PT,3,7.81,2023
2023-09-19,PT,1,4.84,2023
2023-09-19,PT,2,0.5,2023
2023-09-19,PT,3,0.62,2023
2023-10-03,PT,1,0.56,2024
2023-10-03,PT,2,2.05,2024
2023-10-03,PT,3,2.54,2024
2023-10-17,PT,1,1.48,2024
2023-10-17,PT,2,3.82,2024
2023-10-17,PT,3,2.17,2024
2023-10-31,PT,1,0.58,2024
2023-10-31,PT,2,0.73,2024
2023-10-31,PT,3,0.87,2024
2024-03-26,PT,1,0,2024
2024-03-26,PT,2,0.5,2024
2024-03-26,PT,3,0,2024
2024-04-09,PT,1,1.42,2024
2024-04-09,PT,2,0.1,2024
2024-04-09,PT,3,0.2,2024
2024-04-23,PT,1,0,2024
2024-04-23,PT,2,0.3,2024
2024-04-23,PT,3,0,2024
2024-05-07,PT,1,2.21,2024
2024-05-07,PT,2,0,2024
2024-05-07,PT,3,0.5,2024
2024-05-21,PT,1,0,2024
2024-05-21,PT,2,0.96,2024
2024-05-21,PT,3,0.47,2024
2024-06-04,PT,1,1.26,2024
2024-06-04,PT,2,0.51,2024
2024-06-04,PT,3,0.07,2024
2024-06-18,PT,1,3.32,2024
2024-06-18,PT,2,2.6,2024
2024-06-18,PT,3,1.81,2024
2024-07-02,PT,1,3.24,2024
2024-07-02,PT,2,0.2,2024
2024-07-02,PT,3,0.61,2024
2024-07-16,PT,1,0.93,2024
2024-07-16,PT,2,1.19,2024
2024-07-16,PT,3,2.49,2024
2024-07-30,PT,1,1.21,2024
2024-07-30,PT,2,6.05,2024
2024-07-30,PT,3,3.68,2024
2024-08-11,PT,1,2.41,2024
2024-08-11,PT,2,3.94,2024
